iter	Passed	Remaining
455	341	3401
456	341	3396
457	342	3392
458	342	3388
459	342	3384
460	343	3380
461	343	3376
462	344	3372
463	344	3368
464	345	3364
465	345	3360
466	345	3356
467	346	3352
468	346	3348
469	347	3344
470	347	3341
471	347	3337
472	348	3333
473	348	3329
474	349	3326
475	349	3322
476	349	3318
477	350	3314
478	350	3311
479	351	3307
480	351	3304
481	353	3315
482	354	3314
483	355	3316
484	356	3316
485	356	3315
486	357	3313
487	358	3311
488	358	3309
489	359	3307
490	359	3305
491	360	3304
492	361	3303
493	362	3307
494	363	3310
495	364	3307
496	364	3304
497	365	3302
498	365	3300
499	366	3298
500	367	3297
501	367	3294
502	368	3292
503	368	3291
504	369	3291
505	370	3289
506	370	3287
507	371	3284
508	371	3281
509	372	3277
510	372	3274
511	373	3272
512	373	3269
513	374	3267
514	374	3264
515	375	3261
516	375	3260
517	376	3257
518	376	3253
519	377	3250
520	377	3247
521	378	3244
522	378	3240
523	379	3237
524	379	3234
525	379	3230
526	380	3227
527	380	3225
528	381	3222
529	381	3220
530	384	3240
531	385	3237
532	385	3234
533	386	3231
534	386	3227
535	387	3224
536	387	3221
537	388	3218
538	388	3215
539	388	3211
540	389	3208
541	389	3205
542	390	3203
543	390	3200
544	391	3197
545	391	3194
546	391	3191
547	392	3187
548	392	3184
549	393	3181
550	393	3179
551	394	3176
552	394	3173
553	395	3170
554	395	3167
555	395	3164
556	396	3161
557	396	3158
558	397	3155
559	397	3152
560	397	3149
561	398	3146
562	398	3143
563	399	3141
564	399	3138
565	400	3135
566	400	3132
567	401	3129
568	401	3126
569	401	3123
570	402	3120
571	402	3117
572	403	3114
573	403	3111
574	403	3108
575	404	3105
576	404	3102
577	405	3099
578	405	3096
579	405	3093
580	406	3090
581	406	3087
582	407	3084
583	407	3082
584	407	3078
585	408	3076
586	408	3073
587	409	3070
588	409	3067
589	410	3065
590	410	3062
591	410	3059
592	411	3057
593	411	3054
594	412	3051
595	412	3048
596	413	3046
597	413	3043
598	413	3041
599	414	3038
600	414	3035
601	415	3034
602	415	3031
603	416	3028
604	416	3025
605	416	3023
606	417	3020
607	417	3018
608	418	3015
609	418	3012
610	419	3010
611	419	3007
612	419	3004
613	420	3002
614	420	2999
615	421	2996
616	421	2994
617	421	2991
618	422	2988
619	422	2986
620	423	2983
621	423	2981
622	423	2978
623	424	2975
624	424	2972
625	425	2971
626	425	2968
627	426	2966
628	426	2963
629	426	2960
630	427	2958
631	427	2955
632	428	2953
633	428	2953
634	429	2954
635	430	2953
636	431	2953
637	431	2950
638	432	2948
639	432	2945
640	432	2943
641	433	2940
642	433	2938
643	434	2935
644	434	2933
645	434	2930
646	435	2928
647	435	2925
648	436	2924
649	436	2921
650	437	2919
651	437	2917
652	437	2915
653	438	2912
654	438	2910
655	439	2907
656	439	2905
657	439	2903
658	440	2900
659	440	2898
660	441	2896
661	441	2894
662	442	2892
663	442	2889
664	442	2887
665	443	2885
666	443	2883
667	444	2881
668	444	2878
669	445	2876
670	445	2874
671	446	2872
672	446	2870
673	446	2867
674	447	2865
675	447	2863
676	448	2861
677	448	2859
678	448	2856
679	449	2854
680	449	2852
681	450	2849
682	450	2847
683	451	2846
684	451	2845
685	452	2845
686	452	2843
687	453	2841
688	453	2838
689	454	2836
690	454	2834
691	454	2832
692	455	2829
693	455	2828
694	456	2825
695	456	2824
696	457	2823
697	457	2821
698	458	2819
699	458	2817
700	459	2815
701	459	2813
702	460	2812
703	460	2812
704	461	2811
705	462	2810
706	462	2809
707	463	2808
708	463	2806
709	464	2808
710	465	2807
711	466	2809
712	466	2807
713	467	2805
714	467	2803
715	468	2801
716	468	2799
717	469	2797
718	469	2795
719	469	2793
720	470	2791
721	470	2789
722	471	2787
723	471	2784
724	471	2782
725	472	2780
726	472	2778
727	473	2776
728	473	2774
729	473	2772
730	474	2770
731	475	2769
732	475	2768
733	476	2768
734	476	2766
735	477	2764
736	477	2762
737	477	2760
738	478	2758
739	478	2757
740	479	2755
741	479	2754
742	480	2752
743	480	2750
744	481	2748
745	481	2746
746	482	2745
747	482	2743
748	483	2741
749	483	2740
750	484	2738
751	484	2736
752	484	2734
753	485	2732
754	485	2730
755	486	2729
756	486	2728
757	487	2728
758	488	2728
759	488	2726
760	489	2724
761	489	2722
762	489	2720
763	490	2720
764	491	2719
765	491	2719
766	492	2717
767	492	2715
768	493	2713
769	493	2712
770	494	2710
771	494	2709
772	495	2708
773	496	2709
774	496	2708
775	497	2707
776	497	2705
777	498	2703
778	498	2701
779	499	2699
780	499	2698
781	499	2696
782	500	2694
783	500	2692
784	501	2690
785	501	2689
786	502	2687
787	502	2685
788	503	2688
789	504	2691
790	505	2690
791	506	2690
792	507	2689
793	507	2689
794	508	2690
795	509	2690
796	509	2689
797	510	2688
798	511	2687
799	511	2687
800	513	2689
801	513	2689
802	514	2688
803	514	2687
804	515	2686
805	516	2686
806	516	2685
807	517	2684
808	517	2682
809	518	2682
810	519	2681
811	519	2679
812	520	2678
813	520	2676
814	521	2676
815	521	2675
816	522	2674
817	522	2672
818	523	2670
819	523	2668
820	523	2667
821	524	2665
822	525	2664
823	525	2663
824	526	2661
825	526	2660
826	527	2659
827	527	2658
828	528	2657
829	528	2655
830	529	2654
831	529	2652
832	529	2650
833	530	2648
834	530	2647
835	531	2645
836	531	2644
837	532	2642
838	532	2640
839	532	2638
840	533	2637
841	533	2635
842	534	2633
843	534	2633
844	536	2636
845	536	2635
846	538	2638
847	538	2636
848	538	2634
849	539	2632
850	539	2631
851	540	2630
852	540	2629
853	541	2627
854	542	2628
855	542	2627
856	543	2626
857	543	2624
858	544	2622
859	544	2621
860	544	2619
861	545	2617
862	545	2616
863	546	2614
864	546	2613
865	547	2611
866	547	2609
867	547	2608
868	548	2606
869	548	2604
870	549	2603
871	549	2601
872	549	2599
873	550	2598
874	550	2596
875	551	2595
876	552	2596
877	552	2594
878	553	2593
879	553	2591
880	554	2590
881	554	2588
882	554	2587
883	555	2586
884	556	2585
885	556	2585
886	557	2583
887	557	2582
888	558	2581
889	558	2579
890	559	2577
891	559	2576
892	559	2574
893	560	2572
894	560	2571
895	561	2569
896	561	2567
897	561	2566
898	562	2565
899	562	2563
900	563	2561
901	563	2560
902	563	2558
903	564	2557
904	564	2555
905	565	2554
906	565	2553
907	566	2552
908	567	2551
909	567	2550
910	567	2548
911	568	2547
912	568	2545
913	569	2544
914	569	2542
915	569	2540
916	570	2539
917	571	2539
918	571	2537
919	571	2536
920	572	2534
921	572	2533
922	573	2531
923	573	2530
924	573	2528
925	574	2527
926	574	2525
927	575	2523
928	575	2522
929	576	2520
930	576	2519
931	576	2517
932	577	2516
933	577	2514
934	578	2513
935	578	2511
936	578	2510
937	579	2508
938	579	2507
939	580	2505
940	580	2504
941	581	2503
942	581	2502
943	582	2502
944	582	2500
945	583	2499
946	583	2497
947	584	2496
948	584	2495
949	584	2493
950	585	2492
951	585	2491
952	586	2490
953	586	2489
954	587	2487
955	587	2486
956	588	2485
957	588	2483
958	589	2482
959	589	2480
960	590	2479
961	590	2478
962	590	2477
963	591	2475
964	591	2474
965	592	2472
966	592	2471
967	592	2469
968	593	2468
969	593	2466
970	594	2465
971	594	2464
972	595	2462
973	595	2461
974	595	2460
975	596	2459
976	597	2458
977	598	2459
978	599	2461
979	600	2464
980	601	2463
981	602	2463
982	602	2462
983	602	2460
984	603	2459
985	603	2458
986	604	2457
987	604	2455
988	605	2454
989	605	2452
990	606	2451
991	606	2450
992	606	2448
993	607	2447
994	607	2445
995	608	2444
996	608	2443
997	608	2441
998	609	2440
999	609	2438
1000	610	2437
1001	610	2436
1002	611	2435
1003	611	2434
1004	612	2434
1005	612	2433
1006	613	2432
1007	614	2434
1008	615	2433
1009	615	2433
1010	616	2432
1011	617	2431
1012	617	2431
1013	618	2431
1014	619	2432
1015	620	2431
1016	620	2430
1017	621	2430
1018	622	2430
1019	622	2429
1020	623	2428
1021	623	2427
1022	624	2426
1023	624	2425
1024	625	2424
1025	625	2423
1026	626	2422
1027	626	2420
1028	627	2420
1029	627	2420
1030	628	2419
1031	628	2418
1032	629	2416
1033	629	2415
1034	630	2414
1035	630	2412
1036	631	2411
1037	631	2410
1038	632	2410
1039	632	2409
1040	633	2408
1041	633	2407
1042	634	2406
1043	634	2405
1044	635	2404
1045	635	2403
1046	636	2402
1047	636	2400
1048	637	2399
1049	637	2398
1050	637	2396
1051	638	2395
1052	638	2394
1053	639	2392
1054	639	2391
1055	639	2390
1056	640	2388
1057	640	2387
1058	641	2386
1059	642	2387
1060	643	2387
1061	643	2386
1062	644	2386
1063	644	2385
1064	645	2383
1065	645	2382
1066	646	2381
1067	646	2380
1068	646	2379
1069	647	2378
1070	648	2378
1071	649	2378
1072	649	2377
1073	649	2375
1074	650	2374
1075	650	2373
1076	651	2372
1077	651	2370
1078	652	2369
1079	652	2368
1080	652	2367
1081	653	2365
1082	653	2364
1083	654	2363
1084	654	2362
1085	655	2361
1086	655	2359
1087	656	2358
1088	656	2357
1089	656	2356
1090	657	2355
1091	658	2356
1092	658	2355
1093	659	2354
1094	659	2353
1095	660	2351
1096	660	2350
1097	661	2349
1098	661	2348
1099	662	2347
1100	662	2347
1101	663	2347
1102	664	2346
1103	664	2344
1104	664	2343
1105	665	2342
1106	665	2341
1107	666	2339
1108	666	2338
1109	666	2337
1110	667	2336
1111	667	2334
1112	668	2333
1113	668	2332
1114	668	2330
1115	669	2329
1116	669	2328
1117	670	2327
1118	670	2325
1119	671	2324
1120	671	2323
1121	671	2322
1122	672	2321
1123	673	2321
1124	673	2320
1125	674	2320
1126	674	2319
1127	675	2318
1128	675	2317
1129	676	2316
1130	676	2315
1131	677	2314
1132	677	2313
1133	678	2311
1134	678	2310
1135	679	2309
1136	679	2308
1137	679	2307
1138	680	2305
1139	680	2304
1140	681	2303
1141	681	2302
1142	681	2301
1143	682	2300
1144	682	2298
1145	683	2297
1146	683	2296
1147	684	2295
1148	684	2294
1149	684	2293
1150	685	2291
1151	685	2290
1152	686	2289
1153	686	2288
1154	687	2287
1155	687	2286
1156	688	2285
1157	688	2285
1158	689	2283
1159	689	2282
1160	690	2281
1161	690	2280
1162	690	2279
1163	691	2278
1164	691	2276
1165	692	2275
1166	692	2274
1167	692	2273
1168	693	2272
1169	693	2271
1170	694	2269
1171	694	2268
1172	694	2267
1173	695	2266
1174	696	2266
1175	697	2267
1176	697	2266
1177	698	2266
1178	699	2268
1179	701	2269
1180	701	2268
1181	702	2268
1182	703	2268
1183	704	2269
1184	706	2273
1185	706	2273
1186	707	2272
1187	708	2272
1188	708	2271
1189	709	2270
1190	709	2269
1191	710	2269
1192	711	2269
1193	711	2268
1194	712	2267
1195	712	2266
1196	713	2265
1197	713	2264
1198	713	2263
1199	714	2262
1200	714	2261
1201	715	2260
1202	715	2259
1203	716	2258
1204	716	2257
1205	717	2255
1206	717	2255
1207	718	2254
1208	718	2253
1209	719	2252
1210	719	2251
1211	720	2250
1212	720	2249
1213	720	2248
1214	721	2247
1215	721	2246
1216	722	2244
1217	722	2244
1218	723	2243
1219	724	2243
1220	724	2242
1221	725	2241
1222	725	2240
1223	726	2240
1224	726	2239
1225	727	2238
1226	727	2237
1227	727	2236
1228	728	2235
1229	728	2233
1230	729	2233
1231	729	2232
1232	730	2231
1233	730	2230
1234	731	2230
1235	732	2231
1236	733	2230
1237	733	2230
1238	734	2229
1239	734	2227
1240	735	2227
1241	735	2225
1242	736	2224
1243	736	2223
1244	736	2222
1245	737	2221
1246	737	2220
1247	738	2219
1248	738	2217
1249	739	2217
1250	739	2216
1251	739	2214
1252	740	2213
1253	740	2212
1254	741	2211
1255	741	2210
1256	741	2209
1257	742	2208
1258	742	2207
1259	743	2206
1260	743	2204
1261	744	2204
1262	744	2203
1263	745	2204
1264	746	2204
1265	747	2203
1266	747	2202
1267	748	2201
1268	748	2201
1269	749	2199
1270	749	2198
1271	749	2197
1272	750	2196
1273	750	2195
1274	751	2194
1275	751	2193
1276	752	2192
1277	752	2191
1278	753	2190
1279	753	2189
1280	753	2188
1281	754	2187
1282	754	2186
1283	755	2185
1284	755	2184
1285	755	2182
1286	756	2181
1287	756	2180
1288	757	2179
1289	757	2178
1290	757	2177
1291	758	2176
1292	758	2175
1293	759	2174
1294	759	2173
1295	760	2172
1296	760	2171
1297	761	2170
1298	761	2169
1299	761	2168
1300	762	2167
1301	762	2166
1302	763	2165
1303	763	2164
1304	764	2163
1305	764	2162
1306	764	2161
1307	765	2160
1308	765	2159
1309	766	2158
1310	766	2156
1311	766	2155
1312	767	2155
1313	768	2154
1314	768	2153
1315	768	2152
1316	769	2151
1317	769	2150
1318	770	2149
1319	770	2148
1320	771	2147
1321	771	2146
1322	772	2146
1323	772	2145
1324	773	2144
1325	773	2142
1326	773	2141
1327	774	2140
1328	774	2139
1329	775	2138
1330	775	2137
1331	775	2136
1332	776	2135
1333	776	2134
1334	777	2133
1335	777	2133
1336	778	2132
1337	778	2131
1338	779	2129
1339	779	2128
1340	779	2127
1341	780	2126
1342	780	2125
1343	781	2125
1344	781	2124
1345	782	2123
1346	782	2122
1347	782	2120
1348	783	2119
1349	783	2118
1350	784	2117
1351	784	2116
1352	784	2115
1353	785	2114
1354	785	2113
1355	786	2112
1356	786	2111
1357	786	2110
1358	787	2109
1359	787	2108
1360	788	2107
1361	788	2106
1362	789	2105
1363	789	2104
1364	789	2103
1365	790	2102
1366	790	2101
1367	791	2101
1368	792	2102
1369	793	2101
1370	794	2102
1371	795	2102
1372	795	2101
1373	796	2101
1374	796	2101
1375	797	2100
1376	798	2100
1377	798	2099
1378	799	2099
1379	800	2098
1380	800	2098
1381	801	2098
1382	802	2098
1383	803	2099
1384	804	2100
1385	805	2100
1386	806	2100
1387	807	2100
1388	807	2099
1389	808	2099
1390	808	2098
1391	809	2098
1392	810	2098
1393	811	2098
1394	811	2097
1395	812	2096
1396	812	2095
1397	813	2095
1398	813	2094
1399	814	2094
1400	814	2093
1401	815	2092
1402	815	2091
1403	816	2090
1404	816	2089
1405	817	2089
1406	817	2088
1407	818	2087
1408	818	2086
1409	818	2085
1410	819	2084
1411	819	2083
1412	820	2081
1413	820	2080
1414	820	2079
1415	821	2078
1416	821	2077
1417	822	2076
1418	822	2076
1419	823	2075
1420	823	2074
1421	824	2073
1422	824	2072
1423	824	2071
1424	825	2070
1425	825	2069
1426	826	2068
1427	826	2067
1428	827	2066
1429	827	2066
1430	828	2065
1431	828	2064
1432	829	2064
1433	829	2063
1434	830	2062
1435	830	2061
1436	831	2061
1437	832	2060
1438	832	2060
1439	832	2059
1440	833	2058
1441	833	2057
1442	834	2057
1443	835	2056
1444	835	2055
1445	835	2054
1446	836	2053
1447	836	2052
1448	837	2051
1449	837	2050
1450	838	2051
1451	839	2050
1452	839	2049
1453	840	2048
1454	840	2047
1455	840	2046
1456	841	2045
1457	841	2044
1458	842	2043
1459	842	2043
1460	843	2042
1461	843	2041
1462	843	2040
1463	844	2039
1464	844	2038
1465	845	2037
1466	845	2036
1467	845	2035
1468	846	2034
1469	846	2033
1470	847	2032
1471	847	2031
1472	847	2030
1473	848	2029
1474	848	2028
1475	849	2027
1476	849	2026
1477	850	2025
1478	850	2024
1479	850	2023
1480	851	2022
1481	851	2021
1482	852	2020
1483	852	2019
1484	852	2018
1485	853	2017
1486	853	2017
1487	854	2015
1488	854	2015
1489	854	2014
1490	855	2013
1491	856	2012
1492	856	2011
1493	856	2010
1494	857	2009
1495	857	2008
1496	858	2007
1497	858	2006
1498	858	2005
1499	859	2004
1500	859	2004
1501	860	2003
1502	860	2002
1503	860	2001
1504	861	2000
1505	861	1999
1506	862	1998
1507	862	1997
1508	862	1996
1509	863	1995
1510	863	1994
1511	864	1993
1512	864	1992
1513	865	1991
1514	865	1990
1515	865	1990
1516	866	1989
1517	866	1988
1518	867	1987
1519	867	1986
1520	867	1985
1521	868	1984
1522	868	1983
1523	869	1982
1524	869	1981
1525	870	1980
1526	870	1979
1527	870	1979
1528	871	1978
1529	871	1977
1530	872	1976
1531	872	1975
1532	873	1974
1533	873	1973
1534	873	1972
1535	874	1971
1536	874	1970
1537	875	1969
1538	875	1968
1539	875	1968
1540	876	1967
1541	876	1966
1542	877	1965
1543	877	1964
1544	877	1963
1545	878	1962
1546	878	1961
1547	879	1961
1548	880	1960
1549	880	1960
1550	881	1959
1551	881	1958
1552	881	1957
1553	882	1956
1554	882	1955
1555	883	1954
1556	883	1954
1557	884	1954
1558	885	1954
1559	885	1953
1560	886	1952
1561	886	1951
1562	887	1950
1563	887	1949
1564	887	1948
1565	888	1947
1566	888	1946
1567	889	1945
1568	889	1945
1569	890	1945
1570	891	1945
1571	891	1944
1572	892	1943
1573	892	1943
1574	893	1942
1575	893	1941
1576	893	1940
1577	894	1939
1578	894	1938
1579	895	1937
1580	895	1936
1581	895	1935
1582	896	1934
1583	896	1933
1584	897	1932
1585	897	1932
1586	897	1931
1587	898	1930
1588	898	1929
1589	899	1928
1590	900	1929
1591	900	1928
1592	901	1928
1593	902	1927
1594	902	1927
1595	903	1926
1596	903	1926
1597	904	1925
1598	904	1924
1599	905	1923
1600	905	1922
1601	906	1922
1602	906	1921
1603	907	1920
1604	907	1919
1605	907	1918
1606	908	1917
1607	908	1917
1608	909	1916
1609	909	1915
1610	910	1914
1611	910	1913
1612	910	1912
1613	911	1911
1614	911	1910
1615	912	1910
1616	912	1909
1617	912	1908
1618	913	1907
1619	914	1908
1620	915	1907
1621	915	1907
1622	916	1906
1623	917	1906
1624	917	1905
1625	918	1905
1626	918	1905
1627	919	1904
1628	920	1904
1629	920	1904
1630	922	1904
1631	922	1904
1632	923	1904
1633	924	1904
1634	925	1904
1635	925	1903
1636	926	1903
1637	927	1902
1638	927	1902
1639	928	1902
1640	930	1904
1641	930	1903
1642	931	1903
1643	932	1903
1644	933	1902
1645	933	1902
1646	934	1902
1647	935	1903
1648	938	1907
1649	939	1906
1650	940	1906
1651	940	1906
1652	941	1906
1653	942	1906
1654	942	1905
1655	943	1905
1656	944	1904
1657	945	1904
1658	946	1905
1659	947	1905
1660	947	1905
1661	948	1904
1662	949	1904
1663	949	1904
1664	950	1903
1665	951	1903
1666	957	1915
1667	959	1916
1668	959	1915
1669	960	1915
1670	961	1915
1671	962	1914
1672	962	1914
1673	963	1914
1674	964	1913
1675	964	1913
1676	965	1913
1677	966	1913
1678	967	1913
1679	967	1912
1680	968	1912
1681	969	1911
1682	969	1911
1683	970	1910
1684	971	1910
1685	971	1910
1686	972	1909
1687	973	1909
1688	973	1909
1689	987	1933
1690	995	1948
1691	1008	1971
1692	1023	1999
1693	1025	2001
1694	1026	2000
1695	1036	2019
1696	1038	2020
1697	1040	2022
1698	1040	2021
1699	1041	2020
1700	1041	2019
1701	1041	2018
1702	1042	2017
1703	1042	2017
1704	1043	2017
1705	1044	2017
1706	1045	2016
1707	1045	2015
1708	1046	2014
1709	1046	2013
1710	1047	2012
1711	1047	2011
1712	1048	2010
1713	1048	2010
1714	1048	2009
1715	1049	2008
1716	1049	2007
1717	1050	2006
1718	1050	2005
1719	1050	2004
1720	1051	2003
1721	1051	2002
1722	1052	2001
1723	1052	2000
1724	1053	1999
1725	1053	1998
1726	1054	1997
1727	1054	1996
1728	1054	1995
1729	1055	1994
1730	1055	1993
1731	1056	1992
1732	1056	1991
1733	1057	1991
1734	1057	1990
1735	1058	1989
1736	1058	1988
1737	1058	1987
1738	1059	1986
1739	1059	1985
1740	1060	1984
1741	1060	1983
1742	1060	1982
1743	1061	1981
1744	1061	1980
1745	1062	1979
1746	1062	1978
1747	1063	1977
1748	1063	1976
1749	1063	1975
1750	1064	1974
1751	1064	1973
1752	1065	1973
1753	1065	1972
1754	1066	1971
1755	1066	1970
1756	1067	1969
1757	1067	1968
1758	1067	1967
1759	1068	1966
1760	1068	1965
1761	1069	1964
1762	1069	1963
1763	1070	1962
1764	1070	1962
1765	1070	1961
1766	1071	1960
1767	1071	1959
1768	1072	1958
1769	1072	1957
1770	1073	1956
1771	1073	1955
1772	1073	1954
1773	1074	1953
1774	1074	1952
1775	1075	1951
1776	1075	1950
1777	1075	1949
1778	1076	1948
1779	1076	1947
1780	1077	1947
1781	1077	1946
1782	1078	1945
1783	1078	1944
1784	1079	1943
1785	1079	1942
1786	1080	1941
1787	1080	1941
1788	1081	1940
1789	1081	1939
1790	1082	1939
1791	1083	1938
1792	1083	1938
1793	1084	1937
1794	1084	1937
1795	1085	1936
1796	1086	1935
1797	1086	1935
1798	1087	1934
1799	1087	1934
1800	1088	1933
1801	1089	1932
1802	1089	1932
1803	1090	1931
1804	1090	1931
1805	1091	1930
1806	1092	1929
1807	1092	1928
1808	1092	1927
1809	1093	1926
1810	1093	1926
1811	1094	1925
1812	1094	1924
1813	1095	1923
1814	1095	1923
1815	1097	1923
1816	1097	1923
1817	1098	1922
1818	1099	1922
1819	1099	1921
1820	1100	1921
1821	1101	1920
1822	1101	1920
1823	1102	1920
1824	1103	1919
1825	1104	1919
1826	1105	1919
1827	1105	1918
1828	1106	1917
1829	1106	1917
1830	1109	1920
1831	1110	1920
1832	1111	1920
1833	1111	1919
1834	1112	1918
1835	1113	1919
1836	1114	1918
1837	1114	1917
1838	1115	1917
1839	1129	1939
1840	1129	1938
1841	1130	1938
1842	1132	1939
1843	1132	1938
1844	1133	1937
1845	1133	1936
1846	1134	1936
1847	1134	1935
1848	1137	1938
1849	1138	1938
